rater,ratee,value,decimals,tag1
0x10da792165a4b8396b316ab611964103eb5e9dc7,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/54195,99,0,accuracy
0x4da5c41b6fa99ec3104853dda40d74c43ddf768a,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/54195,87,0,accuracy
0x69051797c2e0fa3c0a3c005b8f57139ed8d0d729,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/54195,86,0,accuracy
0x9f7747e22b1c621b6365c1b042a6c49ba6d0c4ea,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/54195,85,0,accuracy
0xa3dc2e49e44bb4af897308fd104547c9f6e8eb98,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/54195,87,0,accuracy
0x2094fd95fe036e3487de4372e2a5889683b316d0,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61155,75,0,accuracy
0x4da5c41b6fa99ec3104853dda40d74c43ddf768a,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61155,93,0,accuracy
0xdd338ef8ec64a51928903a7723641376763bc938,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61155,85,0,accuracy
0xe8aa1d29087c52816212cf84268639bd0b3b214a,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61155,79,0,accuracy
0x2bf4387f2c78f8d44b3c9e3ca6c81e901c371a4b,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61156,98,0,accuracy
0x69051797c2e0fa3c0a3c005b8f57139ed8d0d729,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61156,76,0,accuracy
0x973793f87fe5df921a40b71ff82b229bb276c776,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61156,91,0,accuracy
0xa3dc2e49e44bb4af897308fd104547c9f6e8eb98,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61156,99,0,accuracy
0x10da792165a4b8396b316ab611964103eb5e9dc7,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61158,85,0,accuracy
0x4644a999f1d9f7d0c20fcd6b0bd625c14706f727,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61158,97,0,accuracy
0x966b7300763f0251e295a662cdde1a892f3891f4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61158,76,0,accuracy
0xad31fd6d8bbea69c09c3253f0a2ce35a3f9dfcd0,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61158,78,0,accuracy
0x2094fd95fe036e3487de4372e2a5889683b316d0,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61159,97,0,accuracy
0x385347e837394126478f37cdb3e3f90961c55013,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61159,83,0,accuracy
0x69051797c2e0fa3c0a3c005b8f57139ed8d0d729,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61159,93,0,accuracy
0xad31fd6d8bbea69c09c3253f0a2ce35a3f9dfcd0,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61159,81,0,accuracy
0x385347e837394126478f37cdb3e3f90961c55013,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61163,81,0,accuracy
0x966b7300763f0251e295a662cdde1a892f3891f4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61163,100,0,accuracy
0x973793f87fe5df921a40b71ff82b229bb276c776,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61163,79,0,accuracy
0xdd338ef8ec64a51928903a7723641376763bc938,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/61163,86,0,accuracy
